programCode,seriesCode
20B004,moder_pover
20B004,mort_infan
20E003,detec_diabe
20E003,detec_hyper
20E003,lack_health
20E003,life_expec
20S017,extre_pover
20S017,incom_ineq
20S017,lack_food
20S017,moder_pover
20S052,extre_pover
20S052,incom_ineq
20S052,lack_food
20S052,life_expec
20S052,moder_pover
20S052,mort_infan
20S053,extre_pover
20S053,incom_ineq
20S053,lack_food
20S053,life_expec
20S053,moder_pover
20S053,mort_infan
20S054,extre_pover
20S054,incom_ineq
20S054,lack_food
20S054,moder_pover
20S057,extre_pover
20S057,incom_ineq
20S057,lack_food
20S057,moder_pover
20S058,house_servi
20S058,house_space
20S058,own_house
20S059,acce_comu
20S059,extre_pover
20S059,house_servi
20S059,incom_ineq
20S059,moder_pover
20S059,trash_dispo
20S065,extre_pover
20S065,incom_ineq
20S065,lack_food
20S065,moder_pover
20S071,extre_pover
20S071,incom_ineq
20S071,lack_food
20S071,lack_noact
20S071,lack_secur
20S071,moder_pover
20S072,extre_pover
20S072,incom_ineq
20S072,lack_food
20S072,lag_educ
20S072,moder_pover
20S072,school_atten
20S117,extre_pover
20S117,house_servi
20S117,house_space
20S117,incom_ineq
20S117,moder_pover
20S117,own_house
20S117,trash_dispo
20S118,extre_pover
20S118,incom_ineq
20S118,lack_food
20S118,life_expec
20S118,moder_pover
20S118,mort_infan
20S174,day_care
20S174,lag_educ
20S175,acce_comu
20S175,trash_dispo
20S176,access_pens
20S176,lack_high65
20S176,lack_secur
20S213,extre_pover
20S213,incom_ineq
20S213,insec_food
20S213,moder_pover
20S213,own_house
20S216,acce_comu
20S216,extre_pover
20S216,house_servi
20S216,incom_ineq
20S216,moder_pover
20S216,trash_dispo
20S241,benef_life
20S279,extre_pover
20S279,incom_ineq
20S279,lack_food
20S279,life_expec
20S279,moder_pover
20S279,mort_infan
20S352,extre_pover
20S352,incom_ineq
20S352,lack_food
20S352,life_expec
20S352,moder_pover
20S352,mort_infan
20S353,extre_pover
20S353,incom_ineq
20S353,lack_food
20S353,life_expec
20S353,moder_pover
20S353,mort_infan
20S358,house_servi
20S358,house_space
20S358,own_house
20S417,extre_pover
20S417,house_servi
20S417,house_space
20S417,incom_ineq
20S417,moder_pover
20S417,own_house
20S716,acce_comu
20S716,extre_pover
20S716,house_servi
20S716,incom_ineq
20S716,moder_pover
20S716,trash_dispo
20U005,extre_pover
20U005,incom_ineq
20U005,lack_food
20U005,life_expec
20U005,moder_pover
20U005,mort_infan
20U009,extre_pover
20U009,incom_ineq
20U009,lack_food
20U009,life_expec
20U009,moder_pover
20U009,mort_infan
23U031,lack_health
23U031,life_expec
23U031,mort_infan
23U031,vacc_child
23U036,acce_comu
23U036,house_servi
23U036,trash_dispo
23U053,lag_educ
23U053,school_atten
23U058,acce_comu
23U058,house_servi
23U058,trash_dispo
23U083,acce_comu
23U083,house_servi
23U083,trash_dispo
25E001,lag_educ
25E001,pisa_math
25E001,pisa_read
25E001,pisa_science
25E001,school_atten
25E001,univ_educ
25E003,lag_educ
25E003,school_atten
25E004,lag_educ
25E004,school_atten
25E004,univ_educ
25E016,extre_pover
25E016,incom_ineq
25E016,lag_educ
25E016,moder_pover
25E016,pisa_math
25E016,pisa_read
25E016,school_atten
25E029,pisa_math
