stateAbbreviation,year,total,participations,contributions
CHP,2016,90094401244,27089910641,55647065341
CHH,2016,60965135434,20548598752,28442495351
DUR,2016,32524227732,9101246597,20810639311
GUA,2016,86056553915,29960586113,40679139437
GRO,2016,61819176207,15940576298,41884848176
HID,2016,46098966677,13765885967,30066642655
JAL,2016,103116208092,45119685000,47024143874
MEX,2016,275773701100,89919967000,104122113000
MIC,2016,68479297625,21760859085,41457232270
MOR,2016,30371811620,9287592474,16720356820
NAY,2016,21889803217,6922454812,13608984477
NLE,2016,94225939359,33661579980,33345360240
OAX,2016,70535315068,17529748295,48267554986
PUE,2016,91006249337,29468385126,51892736941
QUE,2016,34073274897,11954461885,17150589991
ROO,2016,28443456000,9077614000,13251575000
SLP,2016,45899718000,14045063000,26573631000
SIN,2016,49226286480,16326752924,27904802734
SON,2016,63927615880,18751480408,20466565784
TAB,2016,48999206617,22220005000,22644219886
TAM,2016,54481141906,19693968788,28576113665
TLA,2016,22005412686,7051542451,12251737678
VER,2016,101808241894,36680421408,57523250727
YUC,2016,35643268694,11384481000,19892936192
ZAC,2016,34484945318,9400142182,21371304031
AGU,2017,25969769080,8201582178,11670787551
BCN,2017,54717463072,22428950534,24098666150
BCS,2017,17861795417,5298179754,10313122067
CAM,2017,22862079320,6981167000,12727924000
COA,2017,52540146835,18109445835,23464381962
COL,2017,16529091993,5243768382,9413134817
CHP,2017,99298839090,29328401165,58598970618
CHH,2017,59961291494,22805454834,25732659285
DUR,2017,38849810448,10430938731,19283716005
GUA,2017,88710899469,33244553494,38444416485
GRO,2017,64705509117,17047519492,42730217792
HID,2017,47928797634,15378703909,30252779016
JAL,2017,112294000409,52105464146,46867094354
MEX,2017,291013540926,102543832569,101276623357
MIC,2017,71829276721,23167070727,43831357282
MOR,2017,32637459473,10303497238,16794041322
NAY,2017,22323649898,7789306588,13351737195
NLE,2017,119066963890,36094293034,32585153000
OAX,2017,77765055731,19465088282,51324520787
PUE,2017,93549549169,33573959003,48539710154
QUE,2017,35094990443,13078442220,16257752356
ROO,2017,49428582589,10201957193,13043224807
SLP,2017,49261997000,17221156526,25783727552
SIN,2017,53492260254,18569720960,29538242468
SON,2017,66317756410,21485371551,24139006631
TAB,2017,50914543067,21542249538,22640476338
TAM,2017,57152841007,21036489997,28332595931
TLA,2017,22106016308,7562088590,12372083296
VER,2017,145015603881,43190600000,64880208873
YUC,2017,39560446556,12911984133,20520237194
ZAC,2017,39614097562,10161781895,18444022077
AGU,2018,27743639098,9219521337,13458990323
BCN,2018,56409234719,24454404585,25461045586
BCS,2018,19115091194,6090481000,10732025389
CAM,2018,25667844982,8864421880,13315573000
COA,2018,53926717803,19114201718,27804239439
COL,2018,19219927861,5986441727,9846490699
CHP,2018,101568505184,32015187182,60047221564
CHH,2018,72160675195,24594056233,32555305717
DUR,2018,37084642083,11470370628,20719829542
GUA,2018,93292035573,35950413780,39012434080
GRO,2018,71752469081,20246855579,46077225505
HID,2018,50432874625,16368679981,31004184482
JAL,2018,115535056098,56114334504,48714872826
MEX,2018,343224656000,116446892000,104856998600
MIC,2018,79944803605,26973677011,45706489839
